X,Y,Z,A,B,C
2309.42065,-47.2689514,1775.23059,-121.0214,-2.15510893,0.857926548
2631.0686,-47.6075363,1772.7406,-120.869713,-0.960566521,11.1301203
1968.22705,-49.1251678,1971.79053,-120.991386,-13.6492872,-10.3906546
2150.99927,577.444519,1873.08398,-122.867363,10.4316177,-21.9612732
2168.52124,-893.125244,1916.9823,-122.208717,-23.4274769,13.5296297
2534.86401,-950.030701,2065.86694,-130.430893,-25.6598301,30.5115242
1779.1792,-974.898254,2087.26245,-115.888748,-46.6553307,-9.29604435
1945.13135,518.960327,1873.36047,-111.611786,6.94988394,-19.30406
2639.61792,518.960327,1700.01379,-112.085564,16.2199516,-1.99291623
2395.16797,7.71288204,1700.01379,-32.0915489,-3.35387683,-0.231637567